Seed,Score,T2,T3,T4,T5,T6,O2,O3,O4,O5,O6,N123,N456,TAO2,TAO3,TAO4,TAO5,TAO6,TAOT,NT,TT
CJPRO8ME,82,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,1,2
X234KSBE,67,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,2
VY2J8HFE,67,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,2
LQ5U3ILE,67,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2
VRZ56TRE,67,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1
J28JDMTE,67,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
IIEMF2CE,82,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,2
6ZQN439E,67,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2
D6N6SRGE,67,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2
X6T98UIE,67,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2
PZ7IT4JE,67,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2
I6F1WCME,67,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2
SWDE66SE,67,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,1,2,3
6XUNQ5YE,67,0,0,1,0,1,1,0,0,0,0,0,2,0,1,1,0,0,2,2,4
AOS132EE,66,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,4,1,5
O1NDL79E,66,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,4,1,5
IZAKTXHE,66,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,3,1,4
IUZN8FKE,66,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,3,1,4
ME29HMLE,66,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,1,2,1,3
CNU31RLE,71,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,2,1,3
C39JBVTE,76,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,2,1,3
N4H2LGXE,76,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,2
9KA5GXHE,66,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,2,1,3
BPG145CE,66,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,2,1,3
ENI17IME,81,1,0,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,1,2
S1IZWYDE,66,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,3
HHJGPEJE,66,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,2,1,3
LDEE8KVE,66,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,1,3
C2PO2OCE,76,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,3,1,4
BYC2JTGE,71,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1,3
NACLBJEE,66,0,0,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,2
D5UKCAKE,66,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,2,1,3
E4RDRLKE,71,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1,3
GJ1T539E,66,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,1,3
WDMGFOLE,66,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,3
HTE752QE,66,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,2,1,3
RNLKP2QE,66,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,3
G8XA7XTE,81,0,0,1,1,0,0,0,1,0,2,0,1,0,0,1,0,1,2,1,3
YA14S6BE,76,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,2,1,3
EFQBC7PE,76,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,3
PDPPQ2WE,76,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,2,1,3
3YV2K7WE,76,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2,1,3
NS7FFLXE,76,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,2,1,3
5NLVDXXE,76,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,3
GXEWH49E,66,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,1,2,1,3
HQCCMBAE,66,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,2,1,3
X2Z7NDAE,66,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,3
6GX2KUAE,66,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,2,1,3
GVV22RBE,66,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,2,1,3
WD6VBRBE,66,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,1,3
31LAJEEE,66,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,2
TFE9CJIE,66,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,2
ROF5AUNE,66,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,2,1,3
BYT9XBPE,66,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,2,1,3
C3UIGJPE,66,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,2,1,3
H3GCQ28E,81,0,1,0,1,0,0,1,0,0,2,0,1,0,0,1,0,1,2,1,3
VV3G7YRE,81,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,3,1,4
GMY5L1XE,81,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,2,1,3
9CAF1AAE,71,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,2,1,3
ZW6AO1FE,71,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2
441NZOFE,71,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,2,1,3
AFBIM78E,66,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,2,1,3
D3N6EJ8E,66,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,2
L95WHFCE,66,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2
NLMUOJLE,66,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2
81J816ME,66,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,2
TS837JCE,66,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2
I4Y39GDE,66,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,2
S6OYQ8EE,66,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,2
LMLO1NGE,66,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2
QJBB4ORE,81,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1,0,1,2,1,3
BLP6FYRE,81,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,2
C4CNZANE,71,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,2
